ave_P,ave_Si,ave_Ti,ave_Al,ave_Cr,ave_Mg,ave_Ca,ave_Mn,ave_Fe,ave_Ni,ave_Na,ave_K,file_names
0,1.9453861262515497,0.005013554346514997,0.21466041871676342,0.01574876565402747,1.4826159916018404,0.03743112396319363,0.004672268935877008,0.22450792587240165,0,0.008591909229373544,0.01657167817446489,KBH_94_23_DE_6_OPX_1.csv
0,1.8979089695252827,0.03029293623291376,0.2956284349606443,0.016935672224863727,0.7799991677356812,0.7291303879421329,0.00362989623158188,0.128663346574829,0,0.06647841274247478,0.1343892521076602,KBH_94_23_DE_7_CPX_1.csv
0,1.8998197779287185,0.028675415906602365,0.3149947279873258,0.022095882807209203,0.7673930597015411,0.6917860104621222,0.0037282641888787423,0.13152282832915277,0,0.08571960600959377,0.1730071559185131,KBH_94_23_DE_7_CPX_2.csv
2.349987309242626e-4,1.0538136926911543,0,0.0011510627100203019,3.0713966943763076e-4,1.617031251597503,0.00283522154776735,0.0036924603762296675,0.2597049404448841,0.006333940254809474,0,0,KBH_94_23_DE_7_Ol_1.csv
0,1.9385357011703765,0.008043312039135617,0.22581525014696183,0.009123309691855668,1.477469413933379,0.040790273671573576,0.004891429248672944,0.22723333473854251,0,0.007976617566471373,0.01536445324576665,KBH_94_23_DE_7_OPX_1.csv
0,1.9368842473267662,0.00871222717523304,0.23458855784622332,0.007466487403659623,1.4627176313723318,0.04228773043463626,0.004942706885717695,0.23184631084925164,0,0.007777800716996223,0.015073272082480448,KBH_94_23_DE_7_OPX_2.csv
0,1.9238131802901792,0.015427761949581464,0.29322558436584106,0.03152040489094736,0.7683293953142503,0.699773111090239,0.003389487788493112,0.11733891665839478,0,0.09098623755867924,0.18406613762069732,KBH_94_23_DE_8_CPX_1.csv
0,1.9403618511718195,0.004151352355507692,0.20364991573838787,0.016766749004166276,1.518486547094675,0.03897579631853477,0.00447039302633148,0.2145080732642906,0,0.007615849042727489,0.014799152206270682,KBH_94_23_DE_8_OPX_1.csv
0,0.0032349722927287558,0.00428148160478894,1.6661561394229985,0.2983267915816057,0.7426625000916777,1.5637242699501007e-4,0.0022743367440868313,0.2854109640864478,0.007738522348851188,0,0,KBH_94_23_DE_9_Ol_1.csv
0,0.003191552116206927,0.004403993567581056,1.6657737946212998,0.2983681456713636,0.7423266786425802,1.5509118952162005e-4,0.002339016806149425,0.28625919030176983,0.007516021253407683,0,0,KBH_94_23_DE_9_SPI_1.csv
0,1.8951858796311436,0.03239917802281573,0.32452310188725253,0.012914336083705964,0.7515463908319477,0.7048366191112478,0.0036605448822019417,0.13482324394623138,0,0.08745617679740965,0.1773723475419465,KBH_94_23_DE_CPX__real_2.csv
